"hgnc_symbol","ensembl_gene_id"
"ZSCAN12P1","ENSG00000219891"
"ACTR3BP5","ENSG00000288338"
"ACTR3BP5","ENSG00000227264"
"ANKRD62P1-PARP4P3","ENSG00000189295"
"AQP7P3","ENSG00000279688"
"ARHGEF34P","ENSG00000204959"
"ASB9P1","ENSG00000258527"
"BAALC-AS1","ENSG00000247081"
"C10orf71-AS1","ENSG00000236208"
"CADM3-AS1","ENSG00000225670"
"CASC15","ENSG00000272168"
"CDKN2A-AS1","ENSG00000224854"
"CES5AP1","ENSG00000215478"
"CES5AP1","ENSG00000280839"
"COL5A1-AS1","ENSG00000204011"
"COL6A4P2","ENSG00000228252"
"COPG2IT1","ENSG00000286214"
"DIRC1","ENSG00000174325"
"DLEU2L","ENSG00000116652"
"DLX6-AS1","ENSG00000231764"
"DNM3OS","ENSG00000230630"
"DOC2GP","ENSG00000231793"
"DUSP5P1","ENSG00000285311"
"DUSP5P1","ENSG00000183929"
"EDNRB-AS1","ENSG00000225579"
"EEF1DP3","ENSG00000229715"
"EMC3-AS1","ENSG00000180385"
"EPB41L4A-AS1","ENSG00000224032"
"FAM106B","ENSG00000287751"
"FAM13A-AS1","ENSG00000248019"
"FAM157B","ENSG00000233013"
"FAM157C","ENSG00000260528"
"FAM201A","ENSG00000204860"
"FAM27E3","ENSG00000274026"
"FAM66A","ENSG00000227888"
"FCGR2C","ENSG00000244682"
"FOXCUT","ENSG00000280916"
"FRY-AS1","ENSG00000237637"
"GABPB1-AS1","ENSG00000244879"
"GAS6-AS1","ENSG00000233695"
"GATA2-AS1","ENSG00000244300"
"GUSBP10","ENSG00000224723"
"HAGLROS","ENSG00000226363"
"HERC2P10","ENSG00000259845"
"HOTTIP","ENSG00000243766"
"HOXA-AS2","ENSG00000253552"
"HOXD-AS2","ENSG00000237380"
"HSP90AB4P","ENSG00000282100"
"JAZF1-AS1","ENSG00000234336"
"KRT16P2","ENSG00000227300"
"KRT17P5","ENSG00000284350"
"KRT17P5","ENSG00000205266"
"LINC00115","ENSG00000225880"
"LINC00265","ENSG00000188185"
"LINC00322","ENSG00000237864"
"LINC00332","ENSG00000230710"
"LINC00363","ENSG00000232849"
"LINC00392","ENSG00000228295"
"LINC00399","ENSG00000229792"
"LINC00431","ENSG00000225760"
"LINC00482","ENSG00000185168"
"LINC00582","ENSG00000229228"
"LINC00644","ENSG00000259142"
"LINC00663","ENSG00000266904"
"LINC00674","ENSG00000237854"
"LINC00702","ENSG00000233117"
"LINC00899","ENSG00000231711"
"LINC00955","ENSG00000216560"
"LINC01046","ENSG00000233405"
"LINC01058","ENSG00000225039"
"LINC01063","ENSG00000232065"
"LINC01080","ENSG00000281721"
"LINC01088","ENSG00000249307"
"LINC01120","ENSG00000223631"
"LINC01248","ENSG00000224128"
"LINC01277","ENSG00000229017"
"LINC01288","ENSG00000254344"
"LINC01312","ENSG00000223586"
"LINC01346","ENSG00000233304"
"LINC01349","ENSG00000230402"
"LINC01389","ENSG00000225762"
"LINC01412","ENSG00000232606"
"LINC01475","ENSG00000257582"
"LINC01522","ENSG00000237423"
"LINC01543","ENSG00000263862"
"LINC01545","ENSG00000204904"
"LYPLAL1-AS1","ENSG00000228536"
"MCF2L-AS1","ENSG00000235280"
"MIR181A1HG","ENSG00000229989"
"MMP25-AS1","ENSG00000261971"
"MRS2P2","ENSG00000257802"
"MST1P2","ENSG00000186301"
"NFYC-AS1","ENSG00000272145"
"NRADDP","ENSG00000236409"
"NRIR","ENSG00000225964"
"OACYLP","ENSG00000224367"
"OGFRP1","ENSG00000182057"
"OR7E156P","ENSG00000274052"
"OR7E37P","ENSG00000215480"
"PAN3-AS1","ENSG00000261485"
"PCDHB19P","ENSG00000291705"
"PCDHB19P","ENSG00000262096"
"PCNAP1","ENSG00000249065"
"POM121L10P","ENSG00000224124"
"POM121L1P","ENSG00000183169"
"POM121L4P","ENSG00000217261"
